Dataset,"#TrainingRelease",%Training,%DefectiveInTraining,%DefectiveInTesting,Classifier,Sampling,FeatureSelection,TP,FP,TN,FN,FPRate,TNRate,FNRate,Precision,Recall,ROCArea,Kappa
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,NaiveBayes,underSampling,No,2.0,5.0,537.0,9.0,0.00922509225092251,0.9907749077490775,0.8181818181818182,0.2857142857142857,0.18181818181818182,0.8830929218383093,0.21000000000000033
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,NaiveBayes,underSampling,Yes,0.0,0.0,542.0,11.0,0.0,1.0,1.0,0.0,0.0,0.5997148607849715,0.0
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,NaiveBayes,overSampling,No,3.0,2.0,540.0,8.0,0.0036900369003690036,0.996309963099631,0.7272727272727273,0.6,0.2727272727272727,0.9647769204964777,0.3671320668345177
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,NaiveBayes,overSampling,Yes,0.0,0.0,542.0,11.0,0.0,1.0,1.0,0.0,0.0,0.5186179134518618,0.0
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,NaiveBayes,smote,No,3.0,8.0,534.0,8.0,0.014760147601476014,0.985239852398524,0.7272727272727273,0.2727272727272727,0.2727272727272727,0.9255283461925529,0.2579671251257959
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,NaiveBayes,smote,Yes,0.0,0.0,542.0,11.0,0.0,1.0,1.0,0.0,0.0,0.5960248238846024,0.0
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,RandomForest,noSampling,No,11.0,0.0,542.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,RandomForest,noSampling,Yes,0.0,0.0,542.0,11.0,0.0,1.0,1.0,0.0,0.0,0.4461590070446159,0.0
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,RandomForest,underSampling,No,11.0,101.0,441.0,0.0,0.1863468634686347,0.8136531365313653,0.0,0.09821428571428571,1.0,0.9959745051995974,0.14799786438868132
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,RandomForest,underSampling,Yes,0.0,7.0,535.0,11.0,0.012915129151291513,0.9870848708487084,1.0,0.0,0.0,0.35910768198591075,-0.015714285714283335
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,RandomForest,overSampling,No,11.0,11.0,531.0,0.0,0.02029520295202952,0.9797047970479705,0.0,0.5,1.0,1.0,0.6575851393188853
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,RandomForest,overSampling,Yes,0.0,1.0,541.0,11.0,0.0018450184501845018,0.9981549815498155,1.0,0.0,0.0,0.38644750083864476,-0.0033262775929862763
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,RandomForest,smote,No,11.0,0.0,542.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,RandomForest,smote,Yes,0.0,0.0,542.0,11.0,0.0,1.0,1.0,0.0,0.0,0.3843508889634351,0.0
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,IBk,noSampling,No,11.0,0.0,542.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,IBk,noSampling,Yes,0.0,2.0,540.0,11.0,0.0036900369003690036,0.996309963099631,1.0,0.0,0.0,0.3929050654142905,-0.006158152554232121
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,IBk,underSampling,No,11.0,162.0,380.0,0.0,0.2988929889298893,0.7011070110701108,0.0,0.06358381502890173,1.0,0.8496309963099631,0.08535315377861266
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,IBk,underSampling,Yes,0.0,2.0,540.0,11.0,0.0036900369003690036,0.996309963099631,1.0,0.0,0.0,0.38527339818852735,-0.006158152554232121
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,IBk,overSampling,No,11.0,2.0,540.0,0.0,0.0036900369003690036,0.996309963099631,0.0,0.8461538461538461,1.0,0.9997484065749749,0.9148313568458346
