TicketID,OpeningVersion,FixedVersion,InjectedVersion
SYNCOPE-310,1.0.6,1.0.6,1.0.5
SYNCOPE-309,1.0.6,1.0.6,1.0.5
SYNCOPE-308,1.0.6,1.0.6,1.0.5
SYNCOPE-307,1.0.6,1.0.6,1.0.6
SYNCOPE-306,1.0.6,1.0.6,1.0.6,stimato
SYNCOPE-302,1.0.6,1.0.6,1.0.6
SYNCOPE-301,1.0.6,1.0.6,1.0.5
SYNCOPE-297,1.0.6,1.0.6,1.0.6,stimato
SYNCOPE-294,1.0.6,1.0.6,1.0.5
SYNCOPE-292,1.0.6,1.0.6,1.0.6
SYNCOPE-284,1.0.6,1.0.6,1.0.6
SYNCOPE-81,1.0.0-incubating,1.0.6,1.0.0-incubating
SYNCOPE-343,1.0.7,1.0.7,1.0.7
SYNCOPE-342,1.0.7,1.0.7,1.0.6
SYNCOPE-341,1.0.7,1.0.7,1.0.6
SYNCOPE-339,1.0.7,1.0.7,1.0.7
SYNCOPE-338,1.0.7,1.0.7,1.0.7
SYNCOPE-334,1.0.7,1.0.7,1.0.7
SYNCOPE-332,1.0.7,1.0.7,1.0.5
SYNCOPE-330,1.0.7,1.0.7,1.0.7
SYNCOPE-329,1.0.7,1.0.7,1.0.7,stimato
SYNCOPE-328,1.0.7,1.0.7,1.0.7,stimato
SYNCOPE-327,1.0.7,1.0.7,1.0.6
SYNCOPE-318,1.0.6,1.0.7,1.0.6,stimato
SYNCOPE-358,1.0.8,1.0.8,1.1.0
SYNCOPE-356,1.0.8,1.0.8,1.1.0
SYNCOPE-353,1.0.8,1.0.8,1.1.0
SYNCOPE-352,1.0.8,1.0.8,1.1.0
SYNCOPE-351,1.0.8,1.0.8,1.0.7
SYNCOPE-365,1.1.1,1.1.1,1.1.0
SYNCOPE-364,1.1.1,1.1.1,1.0.8
SYNCOPE-363,1.1.1,1.1.1,1.1.0
SYNCOPE-361,1.1.1,1.1.1,1.1.0
SYNCOPE-360,1.1.1,1.1.1,1.1.0
SYNCOPE-357,1.0.8,1.1.1,1.1.0
SYNCOPE-354,1.0.8,1.1.1,1.1.0
SYNCOPE-336,1.0.7,1.1.1,1.0.5,stimato
SYNCOPE-387,1.1.2,1.1.2,1.1.1
SYNCOPE-386,1.1.2,1.1.2,1.1.1
SYNCOPE-385,1.1.2,1.1.2,1.1.1
SYNCOPE-384,1.1.2,1.1.2,1.1.1
SYNCOPE-383,1.1.2,1.1.2,1.1.1
SYNCOPE-381,1.1.2,1.1.2,1.1.1
SYNCOPE-376,1.1.2,1.1.2,1.1.1
SYNCOPE-375,1.1.2,1.1.2,1.1.1
