Version,File,NR,LOC,LOC_touched,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,NAuth,ChgSetSize,MAX_ChgSetSize,AVG_ChgSetSize,AgeInWeeks,AgeWeighted,NFix,Bugged
1,client/src/main/java/org/apache/syncope/client/to/ReportTO.java,2,169,169,169,141,85,169,141,85,2,1104,1096,552,15,13,0,no
1,client/src/main/java/org/apache/syncope/client/to/ResourceTO.java,1,235,235,235,235,235,235,235,235,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/to/RoleTO.java,1,177,177,177,177,177,177,177,177,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/to/SchedTaskTO.java,1,74,74,74,74,74,74,74,74,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/to/SchemaMappingTO.java,1,115,115,115,115,115,115,115,115,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/to/SchemaTO.java,2,134,134,134,124,67,134,124,67,2,1102,1096,551,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/to/SyncPolicyTO.java,1,49,49,49,49,49,49,49,49,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/to/SyncTaskTO.java,1,104,104,104,104,104,104,104,104,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/to/TaskExecTO.java,1,34,34,34,34,34,34,34,34,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/to/TaskTO.java,2,101,101,101,72,51,101,72,51,2,1104,1096,552,15,11,0,no
1,client/src/main/java/org/apache/syncope/client/to/UserRequestTO.java,1,84,84,84,84,84,84,84,84,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/to/UserTO.java,1,213,213,213,213,213,213,213,213,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/to/VirtualSchemaTO.java,1,34,34,34,34,34,34,34,34,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/to/WorkflowDefinitionTO.java,1,46,46,46,46,46,46,46,46,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/to/WorkflowFormPropertyTO.java,1,133,133,133,133,133,133,133,133,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/to/WorkflowFormTO.java,1,151,151,151,151,151,151,151,151,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/util/AttributableOperations.java,2,399,425,412,370,206,399,370,200,2,1104,1096,552,15,14,1,no
1,client/src/main/java/org/apache/syncope/client/util/XMLSerializer.java,1,63,63,63,63,63,63,63,63,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/validation/SyncopeClientCompositeErrorException.java,1,96,96,96,96,96,96,96,96,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/validation/SyncopeClientErrorHandler.java,1,93,93,93,93,93,93,93,93,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/validation/SyncopeClientException.java,1,75,75,75,75,75,75,75,75,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/AbstractPolicySpec.java,1,29,29,29,29,29,29,29,29,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/AccountPolicySpec.java,1,175,175,175,175,175,175,175,175,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/AttributableType.java,1,27,27,27,27,27,27,27,27,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/AuditElements.java,1,244,244,244,244,244,244,244,244,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/AuditLoggerName.java,2,98,104,101,98,51,98,98,49,1,1097,1096,549,15,14,0,no
1,client/src/main/java/org/apache/syncope/types/CipherAlgorithm.java,1,37,37,37,37,37,37,37,37,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/ConflictResolutionAction.java,1,31,31,31,31,31,31,31,31,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/ConnConfPropSchema.java,2,107,107,107,97,54,107,97,54,2,1103,1096,552,15,14,0,no
1,client/src/main/java/org/apache/syncope/types/ConnConfProperty.java,1,66,66,66,66,66,66,66,66,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/ConnParameterType.java,1,37,37,37,37,37,37,37,37,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/ConnectorCapability.java,1,35,35,35,35,35,35,35,35,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/EntityViolationType.java,1,69,69,69,69,69,69,69,69,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/IntMappingType.java,2,172,178,175,158,88,172,158,86,2,1097,1096,549,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/PasswordPolicySpec.java,1,353,353,353,353,353,353,353,353,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/PolicyType.java,1,49,49,49,49,49,49,49,49,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/PropagationMode.java,1,26,26,26,26,26,26,26,26,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/PropagationOperation.java,1,26,26,26,26,26,26,26,26,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/PropagationTaskExecStatus.java,1,42,42,42,42,42,42,42,42,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/ReportExecExportFormat.java,1,28,28,28,28,28,28,28,28,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/ReportExecStatus.java,1,28,28,28,28,28,28,28,28,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/SchemaType.java,1,43,43,43,43,43,43,43,43,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/SyncPolicySpec.java,1,62,62,62,62,62,62,62,62,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/SyncopeClientExceptionType.java,1,99,99,99,99,99,99,99,99,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/SyncopeLoggerLevel.java,1,65,65,65,65,65,65,65,65,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/SyncopeLoggerType.java,1,35,35,35,35,35,35,35,35,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/TraceLevel.java,1,40,40,40,40,40,40,40,40,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/UserRequestType.java,1,27,27,27,27,27,27,27,27,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/WorkflowFormPropertyType.java,1,29,29,29,29,29,29,29,29,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/types/package-info.java,1,19,19,19,19,19,19,19,19,1,1096,1096,1096,15,15,0,no
1,client/src/test/java/org/apache/syncope/client/test/JSONTest.java,1,134,134,134,134,134,134,134,134,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/SyncopeApplication.java,3,174,214,194,175,65,174,175,58,2,1123,1096,374,15,13,1,no
1,console/src/main/java/org/apache/syncope/console/SyncopeRequestCycleListener.java,1,83,83,83,83,83,83,83,83,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/SyncopeSession.java,3,112,116,114,96,38,112,96,37,3,1123,1096,374,15,14,1,no
1,console/src/main/java/org/apache/syncope/console/commons/Constants.java,2,94,98,96,96,48,94,96,47,1,1100,1096,550,15,15,1,no
1,console/src/main/java/org/apache/syncope/console/commons/DateFormatROModel.java,1,50,50,50,50,50,50,50,50,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/commons/HttpResourceStream.java,3,165,191,178,150,59,165,150,55,2,1123,1096,374,15,13,2,no
1,console/src/main/java/org/apache/syncope/console/commons/MapChoiceRenderer.java,1,43,43,43,43,43,43,43,43,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/commons/PreferenceManager.java,3,180,338,259,200,86,180,200,60,2,1101,1096,367,15,11,1,no
1,console/src/main/java/org/apache/syncope/console/commons/RoleTreeBuilder.java,1,111,111,111,111,111,111,111,111,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/commons/SchemaModalPageFactory.java,1,66,66,66,66,66,66,66,66,1,1096,1096,1096,15,15,0,no
