TicketID,OpeningVersion,FixedVersion,InjectedVersion
BOOKKEEPER-162,4.1.0,4.1.0,4.0.0
BOOKKEEPER-161,4.1.0,4.1.0,4.1.0,stimato
BOOKKEEPER-156,4.1.0,4.1.0,4.0.0
BOOKKEEPER-153,4.1.0,4.1.0,4.0.0
BOOKKEEPER-152,4.1.0,4.1.0,4.0.0
BOOKKEEPER-150,4.1.0,4.1.0,4.0.0
BOOKKEEPER-148,4.1.0,4.1.0,4.1.0,stimato
BOOKKEEPER-146,4.1.0,4.1.0,4.1.0,stimato
BOOKKEEPER-142,4.1.0,4.1.0,4.0.0
BOOKKEEPER-140,4.0.0,4.1.0,4.0.0
BOOKKEEPER-137,4.0.0,4.1.0,4.0.0,stimato
BOOKKEEPER-135,4.0.0,4.1.0,4.0.0,stimato
BOOKKEEPER-133,4.0.0,4.1.0,4.0.0
BOOKKEEPER-113,4.0.0,4.1.0,4.0.0,stimato
BOOKKEEPER-112,4.0.0,4.1.0,4.0.0,stimato
BOOKKEEPER-74,4.0.0,4.1.0,4.0.0,stimato
BOOKKEEPER-72,4.0.0,4.1.0,4.0.0,stimato
BOOKKEEPER-56,4.0.0,4.1.0,4.0.0
BOOKKEEPER-40,4.0.0,4.1.0,4.0.0,stimato
BOOKKEEPER-543,4.1.1,4.1.1,4.1.0
BOOKKEEPER-539,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-538,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-534,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-533,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-532,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-531,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-530,4.1.1,4.1.1,4.1.0
BOOKKEEPER-524,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-522,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-520,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-514,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-513,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-512,4.1.1,4.1.1,4.1.1,stimato
