Dataset,"#TrainingRelease",%Training,%DefectiveInTraining,%DefectiveInTesting,Classifier,Sampling,FeatureSelection,TP,FP,TN,FN,FPRate,TNRate,FNRate,Precision,Recall,ROCArea,Kappa
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,RandomForest,overSampling,No,62.0,60.0,175.0,11.0,0.2553191489361702,0.7446808510638298,0.1506849315068493,0.5081967213114754,0.8493150684931506,0.8448848732148062,0.48238969892065886
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,RandomForest,overSampling,Yes,60.0,54.0,181.0,13.0,0.2297872340425532,0.7702127659574468,0.1780821917808219,0.5263157894736842,0.821917808219178,0.8243952200524628,0.4960929869115061
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,RandomForest,smote,No,69.0,83.0,152.0,4.0,0.35319148936170214,0.6468085106382979,0.0547945205479452,0.45394736842105265,0.9452054794520548,0.8468376566598659,0.4311794175087034
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,RandomForest,smote,Yes,70.0,100.0,135.0,3.0,0.425531914893617,0.574468085106383,0.0410958904109589,0.4117647058823529,0.958904109589041,0.8283299329641504,0.3658244042859428
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,IBk,noSampling,No,60.0,181.0,54.0,13.0,0.7702127659574468,0.2297872340425532,0.1780821917808219,0.24896265560165975,0.821917808219178,0.5258525211308657,0.028833338751097098
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,IBk,noSampling,Yes,65.0,65.0,170.0,8.0,0.2765957446808511,0.723404255319149,0.1095890410958904,0.5,0.8904109589041096,0.8069950451763335,0.48364872313062657
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,IBk,underSampling,No,61.0,185.0,50.0,12.0,0.7872340425531915,0.2127659574468085,0.1643835616438356,0.24796747967479674,0.8356164383561644,0.5241911979014865,0.026629876796714528
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,IBk,underSampling,Yes,66.0,101.0,134.0,7.0,0.4297872340425532,0.5702127659574469,0.0958904109589041,0.39520958083832336,0.9041095890410958,0.7436898863305159,0.32851548306350675
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,IBk,overSampling,No,33.0,130.0,105.0,40.0,0.5531914893617021,0.44680851063829785,0.547945205479452,0.20245398773006135,0.4520547945205479,0.5041970271058,-0.07097565964409899
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,IBk,overSampling,Yes,68.0,111.0,124.0,5.0,0.4723404255319149,0.5276595744680851,0.0684931506849315,0.37988826815642457,0.9315068493150684,0.789070241911979,0.3060098675265141
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,IBk,smote,No,60.0,181.0,54.0,13.0,0.7702127659574468,0.2297872340425532,0.1780821917808219,0.24896265560165975,0.821917808219178,0.5258525211308657,0.028833338751097098
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,IBk,smote,Yes,67.0,67.0,168.0,6.0,0.2851063829787234,0.7148936170212766,0.0821917808219178,0.5,0.9178082191780822,0.8165549402506558,0.4912201303403331
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,NaiveBayes,noSampling,No,7.0,56.0,362.0,14.0,0.1339712918660287,0.8660287081339713,0.6666666666666666,0.1111111111111111,0.3333333333333333,0.7541011619958988,0.10224948875255675
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,NaiveBayes,noSampling,Yes,5.0,49.0,369.0,16.0,0.11722488038277512,0.8827751196172249,0.7619047619047619,0.09259259259259259,0.23809523809523808,0.7536454773296879,0.06921747072446756
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,NaiveBayes,underSampling,No,8.0,60.0,358.0,13.0,0.14354066985645933,0.8564593301435407,0.6190476190476191,0.11764705882352941,0.38095238095238093,0.7509683299156983,0.11509043214137797
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,NaiveBayes,underSampling,Yes,7.0,62.0,356.0,14.0,0.14832535885167464,0.8516746411483254,0.6666666666666666,0.10144927536231885,0.3333333333333333,0.7195260879471406,0.08871408281437768
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,NaiveBayes,overSampling,No,9.0,69.0,349.0,12.0,0.16507177033492823,0.8349282296650717,0.5714285714285714,0.11538461538461539,0.42857142857142855,0.7597402597402597,0.11511758118700986
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,NaiveBayes,overSampling,Yes,9.0,70.0,348.0,12.0,0.1674641148325359,0.8325358851674641,0.5714285714285714,0.11392405063291139,0.42857142857142855,0.743734335839599,0.1129564831698779
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,NaiveBayes,smote,No,8.0,60.0,358.0,13.0,0.14354066985645933,0.8564593301435407,0.6190476190476191,0.11764705882352941,0.38095238095238093,0.75,0.11509043214137797
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,NaiveBayes,smote,Yes,6.0,63.0,355.0,15.0,0.1507177033492823,0.8492822966507177,0.7142857142857143,0.08695652173913043,0.2857142857142857,0.7643540669856459,0.06473287446738764
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,RandomForest,noSampling,No,14.0,84.0,334.0,7.0,0.20095693779904306,0.7990430622009569,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.759626338573707,0.16989090909090887
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,RandomForest,noSampling,Yes,9.0,73.0,345.0,12.0,0.17464114832535885,0.8253588516746412,0.5714285714285714,0.10975609756097561,0.42857142857142855,0.772157666894509,0.10671965144950096
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,RandomForest,underSampling,No,16.0,168.0,250.0,5.0,0.4019138755980861,0.5980861244019139,0.23809523809523808,0.08695652173913043,0.7619047619047619,0.735475051264525,0.07682302745936999
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,RandomForest,underSampling,Yes,16.0,162.0,256.0,5.0,0.3875598086124402,0.6124401913875598,0.23809523809523808,0.0898876404494382,0.7619047619047619,0.7247095010252905,0.0822682606246481
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,RandomForest,overSampling,No,17.0,157.0,261.0,4.0,0.37559808612440193,0.6244019138755981,0.19047619047619047,0.09770114942528736,0.8095238095238095,0.7569491911597175,0.09729619270214696
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,RandomForest,overSampling,Yes,17.0,158.0,260.0,4.0,0.37799043062200954,0.6220095693779905,0.19047619047619047,0.09714285714285714,0.8095238095238095,0.7495443153337891,0.09627163443210426
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,RandomForest,smote,No,15.0,130.0,288.0,6.0,0.31100478468899523,0.6889952153110048,0.2857142857142857,0.10344827586206896,0.7142857142857143,0.7691957165641377,0.10601341638715864
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,RandomForest,smote,Yes,15.0,138.0,280.0,6.0,0.33014354066985646,0.6698564593301436,0.2857142857142857,0.09803921568627451,0.7142857142857143,0.758544087491456,0.09639794168096065
